2025-09-11 19:11:20,585 - INFO - ✅ Arduino ready and optimized
2025-09-11 19:11:20,585 - INFO - 🚀 Optimized Robot Controller Initialized
2025-09-11 19:11:20,585 - INFO - 📐 Differential Drive Specifications:
2025-09-11 19:11:20,585 - INFO -    Wheel diameter: 5.0 cm
2025-09-11 19:11:20,585 - INFO -    Wheel base: 15.0 cm
2025-09-11 19:11:20,585 - INFO -    Left motor: 4993 ticks/rev
2025-09-11 19:11:20,585 - INFO -    Right motor: 4966 ticks/rev
2025-09-11 19:11:20,586 - INFO -    Left resolution: 0.031 mm/tick
2025-09-11 19:11:20,586 - INFO -    Right resolution: 0.032 mm/tick
2025-09-11 19:11:20,586 - INFO -    360° turn needs: L=14979 ticks, R=14898 ticks
2025-09-11 19:11:20,586 - INFO - 🔄 High-performance threads started
2025-09-11 19:11:24,009 - INFO - 🔄 Movement: L=-13 ticks (0.4mm), R=-12 ticks (0.4mm), Center=0.4mm, Turn=0.0°
2025-09-11 19:11:26,058 - INFO - 🔄 Movement: L=40 ticks (-1.3mm), R=-29 ticks (0.9mm), Center=-0.2mm, Turn=-0.8°
2025-09-11 19:11:26,058 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=40, R=-29 (diff=69)
2025-09-11 19:11:26,079 - INFO - 🔄 Movement: L=40 ticks (-1.3mm), R=-29 ticks (0.9mm), Center=-0.2mm, Turn=-0.8°
2025-09-11 19:11:26,079 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=40, R=-29 (diff=69)
2025-09-11 19:11:26,100 - INFO - 🔄 Movement: L=42 ticks (-1.3mm), R=-31 ticks (1.0mm), Center=-0.2mm, Turn=-0.9°
2025-09-11 19:11:26,100 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=42, R=-31 (diff=73)
2025-09-11 19:11:26,120 - INFO - 🔄 Movement: L=43 ticks (-1.4mm), R=-32 ticks (1.0mm), Center=-0.2mm, Turn=-0.9°
2025-09-11 19:11:26,120 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=43, R=-32 (diff=75)
2025-09-11 19:11:26,141 - INFO - 🔄 Movement: L=45 ticks (-1.4mm), R=-33 ticks (1.0mm), Center=-0.2mm, Turn=-0.9°
2025-09-11 19:11:26,141 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=45, R=-33 (diff=78)
2025-09-11 19:11:26,147 - INFO - 🔄 Movement: L=3206 ticks (-100.9mm), R=-4 ticks (0.1mm), Center=-50.4mm, Turn=-38.6°
2025-09-11 19:11:26,163 - INFO - 🔄 Movement: L=-3156 ticks (99.3mm), R=-32 ticks (1.0mm), Center=50.1mm, Turn=37.5°
2025-09-11 19:11:26,185 - INFO - 🔄 Movement: L=48 ticks (-1.5mm), R=-34 ticks (1.1mm), Center=-0.2mm, Turn=-1.0°
2025-09-11 19:11:26,185 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=48, R=-34 (diff=82)
2025-09-11 19:11:26,206 - INFO - 🔄 Movement: L=46 ticks (-1.4mm), R=-33 ticks (1.0mm), Center=-0.2mm, Turn=-1.0°
2025-09-11 19:11:26,206 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=46, R=-33 (diff=79)
2025-09-11 19:11:26,227 - INFO - 🔄 Movement: L=48 ticks (-1.5mm), R=-33 ticks (1.0mm), Center=-0.2mm, Turn=-1.0°
2025-09-11 19:11:26,227 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=48, R=-33 (diff=81)
2025-09-11 19:11:26,247 - INFO - 🔄 Movement: L=48 ticks (-1.5mm), R=-32 ticks (1.0mm), Center=-0.2mm, Turn=-1.0°
2025-09-11 19:11:26,248 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=48, R=-32 (diff=80)
2025-09-11 19:11:26,264 - INFO - 🔄 Movement: L=46 ticks (-1.4mm), R=-34 ticks (1.1mm), Center=-0.2mm, Turn=-1.0°
2025-09-11 19:11:26,264 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=46, R=-34 (diff=80)
2025-09-11 19:11:26,285 - INFO - 🔄 Movement: L=48 ticks (-1.5mm), R=-35 ticks (1.1mm), Center=-0.2mm, Turn=-1.0°
2025-09-11 19:11:26,285 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=48, R=-35 (diff=83)
2025-09-11 19:11:26,305 - INFO - 🔄 Movement: L=48 ticks (-1.5mm), R=-34 ticks (1.1mm), Center=-0.2mm, Turn=-1.0°
2025-09-11 19:11:26,306 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=48, R=-34 (diff=82)
2025-09-11 19:11:26,326 - INFO - 🔄 Movement: L=50 ticks (-1.6mm), R=-36 ticks (1.1mm), Center=-0.2mm, Turn=-1.0°
2025-09-11 19:11:26,326 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=50, R=-36 (diff=86)
2025-09-11 19:11:26,350 - INFO - 🔄 Movement: L=47 ticks (-1.5mm), R=-33 ticks (1.0mm), Center=-0.2mm, Turn=-1.0°
2025-09-11 19:11:26,350 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=47, R=-33 (diff=80)
2025-09-11 19:11:26,367 - INFO - 🔄 Movement: L=46 ticks (-1.4mm), R=-34 ticks (1.1mm), Center=-0.2mm, Turn=-1.0°
2025-09-11 19:11:26,369 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=46, R=-34 (diff=80)
2025-09-11 19:11:26,385 - INFO - 🔄 Movement: L=33 ticks (-1.0mm), R=-21 ticks (0.7mm), Center=-0.2mm, Turn=-0.7°
2025-09-11 19:11:26,386 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=33, R=-21 (diff=54)
2025-09-11 19:11:26,448 - INFO - 🔄 Movement: L=-13 ticks (0.4mm), R=13 ticks (-0.4mm), Center=-0.0mm, Turn=0.3°
2025-09-11 19:11:26,468 - INFO - 🔄 Movement: L=-16 ticks (0.5mm), R=17 ticks (-0.5mm), Center=-0.0mm, Turn=0.4°
2025-09-11 19:11:26,489 - INFO - 🔄 Movement: L=-19 ticks (0.6mm), R=18 ticks (-0.6mm), Center=0.0mm, Turn=0.4°
2025-09-11 19:11:26,505 - INFO - 🔄 Movement: L=-17 ticks (0.5mm), R=18 ticks (-0.6mm), Center=-0.0mm, Turn=0.4°
2025-09-11 19:11:26,525 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=18 ticks (-0.6mm), Center=0.1mm, Turn=0.5°
2025-09-11 19:11:26,549 - INFO - 🔄 Movement: L=-24 ticks (0.8mm), R=21 ticks (-0.7mm), Center=0.0mm, Turn=0.5°
2025-09-11 19:11:26,570 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=20 ticks (-0.6mm), Center=0.0mm, Turn=0.5°
2025-09-11 19:11:26,576 - INFO - 🔄 Movement: L=-12 ticks (0.4mm), R=10 ticks (-0.3mm), Center=0.0mm, Turn=0.3°
2025-09-11 19:11:26,588 - INFO - 🔄 Movement: L=-24 ticks (0.8mm), R=20 ticks (-0.6mm), Center=0.1mm, Turn=0.5°
2025-09-11 19:11:26,594 - INFO - 🔄 Movement: L=-12 ticks (0.4mm), R=11 ticks (-0.3mm), Center=0.0mm, Turn=0.3°
2025-09-11 19:11:26,609 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=19 ticks (-0.6mm), Center=0.0mm, Turn=0.5°
2025-09-11 19:11:26,615 - INFO - 🔄 Movement: L=-15 ticks (0.5mm), R=12 ticks (-0.4mm), Center=0.0mm, Turn=0.3°
2025-09-11 19:11:26,630 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=17 ticks (-0.5mm), Center=0.1mm, Turn=0.5°
2025-09-11 19:11:26,635 - INFO - 🔄 Movement: L=-15 ticks (0.5mm), R=12 ticks (-0.4mm), Center=0.0mm, Turn=0.3°
2025-09-11 19:11:26,646 - INFO - 🔄 Movement: L=-21 ticks (0.7mm), R=16 ticks (-0.5mm), Center=0.1mm, Turn=0.4°
2025-09-11 19:11:26,656 - INFO - 🔄 Movement: L=-16 ticks (0.5mm), R=12 ticks (-0.4mm), Center=0.1mm, Turn=0.3°
2025-09-11 19:11:26,667 - INFO - 🔄 Movement: L=-21 ticks (0.7mm), R=16 ticks (-0.5mm), Center=0.1mm, Turn=0.4°
2025-09-11 19:11:26,677 - INFO - 🔄 Movement: L=-16 ticks (0.5mm), R=13 ticks (-0.4mm), Center=0.0mm, Turn=0.3°
2025-09-11 19:11:26,688 - INFO - 🔄 Movement: L=-19 ticks (0.6mm), R=15 ticks (-0.5mm), Center=0.1mm, Turn=0.4°
2025-09-11 19:11:26,698 - INFO - 🔄 Movement: L=-18 ticks (0.6mm), R=14 ticks (-0.4mm), Center=0.1mm, Turn=0.4°
2025-09-11 19:11:26,708 - INFO - 🔄 Movement: L=-20 ticks (0.6mm), R=16 ticks (-0.5mm), Center=0.1mm, Turn=0.4°
2025-09-11 19:11:26,719 - INFO - 🔄 Movement: L=-19 ticks (0.6mm), R=15 ticks (-0.5mm), Center=0.1mm, Turn=0.4°
2025-09-11 19:11:26,729 - INFO - 🔄 Movement: L=-18 ticks (0.6mm), R=13 ticks (-0.4mm), Center=0.1mm, Turn=0.4°
2025-09-11 19:11:26,739 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=17 ticks (-0.5mm), Center=0.1mm, Turn=0.5°
2025-09-11 19:11:26,753 - INFO - 🔄 Movement: L=-18 ticks (0.6mm), R=14 ticks (-0.4mm), Center=0.1mm, Turn=0.4°
2025-09-11 19:11:26,758 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=17 ticks (-0.5mm), Center=0.1mm, Turn=0.5°
2025-09-11 19:11:26,771 - INFO - 🔄 Movement: L=-16 ticks (0.5mm), R=14 ticks (-0.4mm), Center=0.0mm, Turn=0.4°
2025-09-11 19:11:26,783 - INFO - 🔄 Movement: L=-24 ticks (0.8mm), R=20 ticks (-0.6mm), Center=0.1mm, Turn=0.5°
2025-09-11 19:11:26,793 - INFO - 🔄 Movement: L=-17 ticks (0.5mm), R=13 ticks (-0.4mm), Center=0.1mm, Turn=0.4°
2025-09-11 19:11:26,803 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=19 ticks (-0.6mm), Center=0.0mm, Turn=0.5°
2025-09-11 19:11:26,824 - INFO - 🔄 Movement: L=-17 ticks (0.5mm), R=12 ticks (-0.4mm), Center=0.1mm, Turn=0.3°
2025-09-11 19:11:34,131 - INFO - 🔄 Movement: L=3240 ticks (-101.9mm), R=0 ticks (-0.0mm), Center=-51.0mm, Turn=-38.9°
2025-09-11 19:11:34,141 - INFO - 🔄 Movement: L=-3240 ticks (101.9mm), R=0 ticks (-0.0mm), Center=51.0mm, Turn=38.9°
2025-09-11 19:11:39,260 - INFO - 🔄 Movement: L=3000 ticks (-94.4mm), R=0 ticks (-0.0mm), Center=-47.2mm, Turn=-36.1°
2025-09-11 19:11:39,276 - INFO - 🔄 Movement: L=-3000 ticks (94.4mm), R=0 ticks (-0.0mm), Center=47.2mm, Turn=36.1°
2025-09-11 19:11:41,278 - INFO - 🔄 Movement: L=0 ticks (-0.0mm), R=3200 ticks (-101.2mm), Center=-50.6mm, Turn=38.7°
2025-09-11 19:11:41,278 - INFO - 🔄 Movement: L=0 ticks (-0.0mm), R=-3200 ticks (101.2mm), Center=50.6mm, Turn=-38.7°
2025-09-11 19:11:46,265 - INFO - 🔄 Movement: L=3300 ticks (-103.8mm), R=0 ticks (-0.0mm), Center=-51.9mm, Turn=-39.7°
2025-09-11 19:11:46,271 - INFO - 🔄 Movement: L=-3300 ticks (103.8mm), R=0 ticks (-0.0mm), Center=51.9mm, Turn=39.7°
2025-09-11 19:11:50,788 - INFO - 🔄 Movement: L=0 ticks (-0.0mm), R=3204 ticks (-101.3mm), Center=-50.7mm, Turn=38.7°
2025-09-11 19:11:50,805 - INFO - 🔄 Movement: L=0 ticks (-0.0mm), R=-3204 ticks (101.3mm), Center=50.7mm, Turn=-38.7°
2025-09-11 19:11:53,021 - INFO - 🔄 Movement: L=-18 ticks (0.6mm), R=-14 ticks (0.4mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:53,041 - INFO - 🔄 Movement: L=-21 ticks (0.7mm), R=-20 ticks (0.6mm), Center=0.6mm, Turn=0.0°
2025-09-11 19:11:53,062 - INFO - 🔄 Movement: L=-27 ticks (0.8mm), R=-22 ticks (0.7mm), Center=0.8mm, Turn=0.1°
2025-09-11 19:11:53,082 - INFO - 🔄 Movement: L=-28 ticks (0.9mm), R=-24 ticks (0.8mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:53,103 - INFO - 🔄 Movement: L=-31 ticks (1.0mm), R=-25 ticks (0.8mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:53,123 - INFO - 🔄 Movement: L=-33 ticks (1.0mm), R=-25 ticks (0.8mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:53,144 - INFO - 🔄 Movement: L=-36 ticks (1.1mm), R=-26 ticks (0.8mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:53,169 - INFO - 🔄 Movement: L=-36 ticks (1.1mm), R=-26 ticks (0.8mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:53,169 - INFO - 🔄 Movement: L=-11 ticks (0.3mm), R=-9 ticks (0.3mm), Center=0.3mm, Turn=0.0°
2025-09-11 19:11:53,180 - INFO - 🔄 Movement: L=-37 ticks (1.2mm), R=-28 ticks (0.9mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:53,190 - INFO - 🔄 Movement: L=-16 ticks (0.5mm), R=-13 ticks (0.4mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:53,201 - INFO - 🔄 Movement: L=-30 ticks (0.9mm), R=-24 ticks (0.8mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:53,207 - INFO - 🔄 Movement: L=-18 ticks (0.6mm), R=-14 ticks (0.4mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:53,223 - INFO - 🔄 Movement: L=-32 ticks (1.0mm), R=-25 ticks (0.8mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:53,228 - INFO - 🔄 Movement: L=-18 ticks (0.6mm), R=-14 ticks (0.4mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:53,244 - INFO - 🔄 Movement: L=-32 ticks (1.0mm), R=-25 ticks (0.8mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:53,249 - INFO - 🔄 Movement: L=-19 ticks (0.6mm), R=-16 ticks (0.5mm), Center=0.6mm, Turn=0.0°
2025-09-11 19:11:53,264 - INFO - 🔄 Movement: L=-34 ticks (1.1mm), R=-26 ticks (0.8mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:53,269 - INFO - 🔄 Movement: L=-21 ticks (0.7mm), R=-18 ticks (0.6mm), Center=0.6mm, Turn=0.0°
2025-09-11 19:11:53,285 - INFO - 🔄 Movement: L=-33 ticks (1.0mm), R=-27 ticks (0.9mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:53,290 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=-17 ticks (0.5mm), Center=0.6mm, Turn=0.1°
2025-09-11 19:11:53,305 - INFO - 🔄 Movement: L=-31 ticks (1.0mm), R=-25 ticks (0.8mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:53,310 - INFO - 🔄 Movement: L=-25 ticks (0.8mm), R=-20 ticks (0.6mm), Center=0.7mm, Turn=0.1°
2025-09-11 19:11:53,325 - INFO - 🔄 Movement: L=-31 ticks (1.0mm), R=-25 ticks (0.8mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:53,331 - INFO - 🔄 Movement: L=-25 ticks (0.8mm), R=-20 ticks (0.6mm), Center=0.7mm, Turn=0.1°
2025-09-11 19:11:53,341 - INFO - 🔄 Movement: L=-29 ticks (0.9mm), R=-23 ticks (0.7mm), Center=0.8mm, Turn=0.1°
2025-09-11 19:11:53,351 - INFO - 🔄 Movement: L=-28 ticks (0.9mm), R=-23 ticks (0.7mm), Center=0.8mm, Turn=0.1°
2025-09-11 19:11:53,369 - INFO - 🔄 Movement: L=-30 ticks (0.9mm), R=-24 ticks (0.8mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:53,374 - INFO - 🔄 Movement: L=-27 ticks (0.8mm), R=-21 ticks (0.7mm), Center=0.8mm, Turn=0.1°
2025-09-11 19:11:53,391 - INFO - 🔄 Movement: L=-27 ticks (0.8mm), R=-23 ticks (0.7mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:53,399 - INFO - 🔄 Movement: L=-37 ticks (1.2mm), R=-29 ticks (0.9mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:53,404 - INFO - 🔄 Movement: L=-20 ticks (0.6mm), R=-17 ticks (0.5mm), Center=0.6mm, Turn=0.0°
2025-09-11 19:11:53,415 - INFO - 🔄 Movement: L=-35 ticks (1.1mm), R=-29 ticks (0.9mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:53,431 - INFO - 🔄 Movement: L=-18 ticks (0.6mm), R=-16 ticks (0.5mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:53,436 - INFO - 🔄 Movement: L=-39 ticks (1.2mm), R=-31 ticks (1.0mm), Center=1.1mm, Turn=0.1°
2025-09-11 19:11:53,442 - INFO - 🔄 Movement: L=-18 ticks (0.6mm), R=-16 ticks (0.5mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:53,457 - INFO - 🔄 Movement: L=-38 ticks (1.2mm), R=-30 ticks (0.9mm), Center=1.1mm, Turn=0.1°
2025-09-11 19:11:53,462 - INFO - 🔄 Movement: L=-18 ticks (0.6mm), R=-15 ticks (0.5mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:53,478 - INFO - 🔄 Movement: L=-41 ticks (1.3mm), R=-32 ticks (1.0mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:53,483 - INFO - 🔄 Movement: L=-19 ticks (0.6mm), R=-16 ticks (0.5mm), Center=0.6mm, Turn=0.0°
2025-09-11 19:11:53,498 - INFO - 🔄 Movement: L=-42 ticks (1.3mm), R=-33 ticks (1.0mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:53,503 - INFO - 🔄 Movement: L=-15 ticks (0.5mm), R=-12 ticks (0.4mm), Center=0.4mm, Turn=0.0°
2025-09-11 19:11:53,519 - INFO - 🔄 Movement: L=-45 ticks (1.4mm), R=-37 ticks (1.2mm), Center=1.3mm, Turn=0.1°
2025-09-11 19:11:53,524 - INFO - 🔄 Movement: L=-15 ticks (0.5mm), R=-13 ticks (0.4mm), Center=0.4mm, Turn=0.0°
2025-09-11 19:11:53,539 - INFO - 🔄 Movement: L=-45 ticks (1.4mm), R=-37 ticks (1.2mm), Center=1.3mm, Turn=0.1°
2025-09-11 19:11:53,544 - INFO - 🔄 Movement: L=-13 ticks (0.4mm), R=-10 ticks (0.3mm), Center=0.4mm, Turn=0.0°
2025-09-11 19:11:53,565 - INFO - 🔄 Movement: L=-47 ticks (1.5mm), R=-38 ticks (1.2mm), Center=1.3mm, Turn=0.1°
2025-09-11 19:11:53,565 - INFO - 🔄 Movement: L=-15 ticks (0.5mm), R=-12 ticks (0.4mm), Center=0.4mm, Turn=0.0°
2025-09-11 19:11:53,583 - INFO - 🔄 Movement: L=-51 ticks (1.6mm), R=-42 ticks (1.3mm), Center=1.5mm, Turn=0.1°
2025-09-11 19:11:53,603 - INFO - 🔄 Movement: L=-54 ticks (1.7mm), R=-45 ticks (1.4mm), Center=1.6mm, Turn=0.1°
2025-09-11 19:11:53,626 - INFO - 🔄 Movement: L=-59 ticks (1.9mm), R=-48 ticks (1.5mm), Center=1.7mm, Turn=0.1°
2025-09-11 19:11:53,646 - INFO - 🔄 Movement: L=-59 ticks (1.9mm), R=-48 ticks (1.5mm), Center=1.7mm, Turn=0.1°
2025-09-11 19:11:53,667 - INFO - 🔄 Movement: L=-59 ticks (1.9mm), R=-50 ticks (1.6mm), Center=1.7mm, Turn=0.1°
2025-09-11 19:11:53,687 - INFO - 🔄 Movement: L=-56 ticks (1.8mm), R=-47 ticks (1.5mm), Center=1.6mm, Turn=0.1°
2025-09-11 19:11:53,707 - INFO - 🔄 Movement: L=-56 ticks (1.8mm), R=-47 ticks (1.5mm), Center=1.6mm, Turn=0.1°
2025-09-11 19:11:53,728 - INFO - 🔄 Movement: L=-53 ticks (1.7mm), R=-44 ticks (1.4mm), Center=1.5mm, Turn=0.1°
2025-09-11 19:11:53,748 - INFO - 🔄 Movement: L=-53 ticks (1.7mm), R=-44 ticks (1.4mm), Center=1.5mm, Turn=0.1°
2025-09-11 19:11:53,764 - INFO - 🔄 Movement: L=-50 ticks (1.6mm), R=-42 ticks (1.3mm), Center=1.5mm, Turn=0.1°
2025-09-11 19:11:53,770 - INFO - 🔄 Movement: L=-11 ticks (0.3mm), R=-10 ticks (0.3mm), Center=0.3mm, Turn=0.0°
2025-09-11 19:11:53,786 - INFO - 🔄 Movement: L=-49 ticks (1.5mm), R=-42 ticks (1.3mm), Center=1.4mm, Turn=0.1°
2025-09-11 19:11:53,792 - INFO - 🔄 Movement: L=-13 ticks (0.4mm), R=-11 ticks (0.3mm), Center=0.4mm, Turn=0.0°
2025-09-11 19:11:53,809 - INFO - 🔄 Movement: L=-46 ticks (1.4mm), R=-38 ticks (1.2mm), Center=1.3mm, Turn=0.1°
2025-09-11 19:11:53,810 - INFO - 🔄 Movement: L=-16 ticks (0.5mm), R=-13 ticks (0.4mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:53,827 - INFO - 🔄 Movement: L=-46 ticks (1.4mm), R=-39 ticks (1.2mm), Center=1.3mm, Turn=0.1°
2025-09-11 19:11:53,834 - INFO - 🔄 Movement: L=-18 ticks (0.6mm), R=-16 ticks (0.5mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:53,844 - INFO - 🔄 Movement: L=-41 ticks (1.3mm), R=-34 ticks (1.1mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:53,855 - INFO - 🔄 Movement: L=-20 ticks (0.6mm), R=-19 ticks (0.6mm), Center=0.6mm, Turn=0.0°
2025-09-11 19:11:53,865 - INFO - 🔄 Movement: L=-40 ticks (1.3mm), R=-35 ticks (1.1mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:53,875 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=-19 ticks (0.6mm), Center=0.6mm, Turn=0.0°
2025-09-11 19:11:53,885 - INFO - 🔄 Movement: L=-37 ticks (1.2mm), R=-32 ticks (1.0mm), Center=1.1mm, Turn=0.1°
2025-09-11 19:11:53,896 - INFO - 🔄 Movement: L=-24 ticks (0.8mm), R=-22 ticks (0.7mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:53,906 - INFO - 🔄 Movement: L=-38 ticks (1.2mm), R=-32 ticks (1.0mm), Center=1.1mm, Turn=0.1°
2025-09-11 19:11:53,916 - INFO - 🔄 Movement: L=-23 ticks (0.7mm), R=-21 ticks (0.7mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:53,926 - INFO - 🔄 Movement: L=-37 ticks (1.2mm), R=-33 ticks (1.0mm), Center=1.1mm, Turn=0.0°
2025-09-11 19:11:53,937 - INFO - 🔄 Movement: L=-24 ticks (0.8mm), R=-21 ticks (0.7mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:53,947 - INFO - 🔄 Movement: L=-33 ticks (1.0mm), R=-30 ticks (0.9mm), Center=1.0mm, Turn=0.0°
2025-09-11 19:11:53,957 - INFO - 🔄 Movement: L=-27 ticks (0.8mm), R=-23 ticks (0.7mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:53,969 - INFO - 🔄 Movement: L=-34 ticks (1.1mm), R=-30 ticks (0.9mm), Center=1.0mm, Turn=0.0°
2025-09-11 19:11:53,977 - INFO - 🔄 Movement: L=-28 ticks (0.9mm), R=-24 ticks (0.8mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:53,988 - INFO - 🔄 Movement: L=-30 ticks (0.9mm), R=-26 ticks (0.8mm), Center=0.9mm, Turn=0.0°
2025-09-11 19:11:53,999 - INFO - 🔄 Movement: L=-29 ticks (0.9mm), R=-26 ticks (0.8mm), Center=0.9mm, Turn=0.0°
2025-09-11 19:11:54,009 - INFO - 🔄 Movement: L=-30 ticks (0.9mm), R=-26 ticks (0.8mm), Center=0.9mm, Turn=0.0°
2025-09-11 19:11:54,020 - INFO - 🔄 Movement: L=-29 ticks (0.9mm), R=-26 ticks (0.8mm), Center=0.9mm, Turn=0.0°
2025-09-11 19:11:54,031 - INFO - 🔄 Movement: L=-26 ticks (0.8mm), R=-23 ticks (0.7mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:54,036 - INFO - 🔄 Movement: L=-33 ticks (1.0mm), R=-28 ticks (0.9mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:54,047 - INFO - 🔄 Movement: L=-26 ticks (0.8mm), R=-24 ticks (0.8mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:54,062 - INFO - 🔄 Movement: L=-34 ticks (1.1mm), R=-29 ticks (0.9mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:54,067 - INFO - 🔄 Movement: L=-23 ticks (0.7mm), R=-20 ticks (0.6mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:54,083 - INFO - 🔄 Movement: L=-35 ticks (1.1mm), R=-31 ticks (1.0mm), Center=1.0mm, Turn=0.0°
2025-09-11 19:11:54,088 - INFO - 🔄 Movement: L=-24 ticks (0.8mm), R=-20 ticks (0.6mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:54,103 - INFO - 🔄 Movement: L=-34 ticks (1.1mm), R=-31 ticks (1.0mm), Center=1.0mm, Turn=0.0°
2025-09-11 19:11:54,108 - INFO - 🔄 Movement: L=-21 ticks (0.7mm), R=-18 ticks (0.6mm), Center=0.6mm, Turn=0.0°
2025-09-11 19:11:54,123 - INFO - 🔄 Movement: L=-38 ticks (1.2mm), R=-33 ticks (1.0mm), Center=1.1mm, Turn=0.1°
2025-09-11 19:11:54,129 - INFO - 🔄 Movement: L=-21 ticks (0.7mm), R=-17 ticks (0.5mm), Center=0.6mm, Turn=0.0°
2025-09-11 19:11:54,144 - INFO - 🔄 Movement: L=-39 ticks (1.2mm), R=-34 ticks (1.1mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:54,149 - INFO - 🔄 Movement: L=-17 ticks (0.5mm), R=-15 ticks (0.5mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:54,165 - INFO - 🔄 Movement: L=-41 ticks (1.3mm), R=-35 ticks (1.1mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:54,171 - INFO - 🔄 Movement: L=-18 ticks (0.6mm), R=-15 ticks (0.5mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:54,181 - INFO - 🔄 Movement: L=-40 ticks (1.3mm), R=-34 ticks (1.1mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:54,193 - INFO - 🔄 Movement: L=-17 ticks (0.5mm), R=-14 ticks (0.4mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:54,201 - INFO - 🔄 Movement: L=-42 ticks (1.3mm), R=-36 ticks (1.1mm), Center=1.2mm, Turn=0.1°
