2025-09-06 17:33:50,697 - INFO - ✅ Arduino ready and optimized
2025-09-06 17:33:50,708 - INFO - 🚀 Optimized Robot Controller Initialized
2025-09-06 17:33:50,708 - INFO - 📐 Differential Drive Specifications:
2025-09-06 17:33:50,708 - INFO -    Wheel diameter: 5.0 cm
2025-09-06 17:33:50,709 - INFO -    Wheel base: 15.0 cm
2025-09-06 17:33:50,709 - INFO -    Left motor: 4993 ticks/rev
2025-09-06 17:33:50,709 - INFO -    Right motor: 4966 ticks/rev
2025-09-06 17:33:50,709 - INFO -    Left resolution: 0.031 mm/tick
2025-09-06 17:33:50,709 - INFO -    Right resolution: 0.032 mm/tick
2025-09-06 17:33:50,709 - INFO -    360° turn needs: L=14979 ticks, R=14898 ticks
2025-09-06 17:33:50,710 - INFO - 🔄 High-performance threads started
2025-09-06 17:33:54,028 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=8 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:34:19,058 - INFO - 🔄 Movement: L=-18 ticks (-0.6mm), R=17 ticks (0.5mm), Center=-0.0mm, Turn=0.4°
2025-09-06 17:34:19,075 - INFO - 🔄 Movement: L=-38 ticks (-1.2mm), R=36 ticks (1.1mm), Center=-0.0mm, Turn=0.9°
2025-09-06 17:34:19,075 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-38, R=36 (diff=-74)
2025-09-06 17:34:19,081 - INFO - 🔄 Movement: L=-16 ticks (-0.5mm), R=15 ticks (0.5mm), Center=-0.0mm, Turn=0.4°
2025-09-06 17:34:19,096 - INFO - 🔄 Movement: L=-47 ticks (-1.5mm), R=43 ticks (1.4mm), Center=-0.1mm, Turn=1.1°
2025-09-06 17:34:19,097 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-47, R=43 (diff=-90)
2025-09-06 17:34:19,102 - INFO - 🔄 Movement: L=-12 ticks (-0.4mm), R=11 ticks (0.3mm), Center=-0.0mm, Turn=0.3°
2025-09-06 17:34:19,118 - INFO - 🔄 Movement: L=-46 ticks (-1.4mm), R=43 ticks (1.4mm), Center=-0.0mm, Turn=1.1°
2025-09-06 17:34:19,118 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-46, R=43 (diff=-89)
2025-09-06 17:34:19,133 - INFO - 🔄 Movement: L=-49 ticks (-1.5mm), R=45 ticks (1.4mm), Center=-0.1mm, Turn=1.1°
2025-09-06 17:34:19,133 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-49, R=45 (diff=-94)
2025-09-06 17:34:19,144 - INFO - 🔄 Movement: L=-11 ticks (-0.3mm), R=11 ticks (0.3mm), Center=0.0mm, Turn=0.3°
2025-09-06 17:34:19,160 - INFO - 🔄 Movement: L=-48 ticks (-1.5mm), R=45 ticks (1.4mm), Center=-0.0mm, Turn=1.1°
2025-09-06 17:34:19,161 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-48, R=45 (diff=-93)
2025-09-06 17:34:19,177 - INFO - 🔄 Movement: L=-50 ticks (-1.6mm), R=47 ticks (1.5mm), Center=-0.0mm, Turn=1.2°
2025-09-06 17:34:19,177 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-50, R=47 (diff=-97)
2025-09-06 17:34:19,177 - INFO - 🔄 Movement: L=-11 ticks (-0.3mm), R=10 ticks (0.3mm), Center=-0.0mm, Turn=0.3°
2025-09-06 17:34:19,198 - INFO - 🔄 Movement: L=-53 ticks (-1.7mm), R=49 ticks (1.5mm), Center=-0.1mm, Turn=1.2°
2025-09-06 17:34:19,198 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-53, R=49 (diff=-102)
2025-09-06 17:34:19,220 - INFO - 🔄 Movement: L=-52 ticks (-1.6mm), R=49 ticks (1.5mm), Center=-0.0mm, Turn=1.2°
2025-09-06 17:34:19,220 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-52, R=49 (diff=-101)
2025-09-06 17:34:19,241 - INFO - 🔄 Movement: L=-59 ticks (-1.9mm), R=55 ticks (1.7mm), Center=-0.1mm, Turn=1.4°
2025-09-06 17:34:19,241 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-59, R=55 (diff=-114)
2025-09-06 17:34:19,262 - INFO - 🔄 Movement: L=-59 ticks (-1.9mm), R=55 ticks (1.7mm), Center=-0.1mm, Turn=1.4°
2025-09-06 17:34:19,262 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-59, R=55 (diff=-114)
2025-09-06 17:34:19,281 - INFO - 🔄 Movement: L=-60 ticks (-1.9mm), R=57 ticks (1.8mm), Center=-0.0mm, Turn=1.4°
2025-09-06 17:34:19,281 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-60, R=57 (diff=-117)
2025-09-06 17:34:19,308 - INFO - 🔄 Movement: L=-56 ticks (-1.8mm), R=53 ticks (1.7mm), Center=-0.0mm, Turn=1.3°
2025-09-06 17:34:19,308 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-56, R=53 (diff=-109)
2025-09-06 17:34:19,309 - INFO - 🔄 Movement: L=-22 ticks (-0.7mm), R=20 ticks (0.6mm), Center=-0.0mm, Turn=0.5°
2025-09-06 17:34:19,319 - INFO - 🔄 Movement: L=-40 ticks (-1.3mm), R=38 ticks (1.2mm), Center=-0.0mm, Turn=0.9°
2025-09-06 17:34:19,319 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-40, R=38 (diff=-78)
2025-09-06 17:34:19,330 - INFO - 🔄 Movement: L=-23 ticks (-0.7mm), R=20 ticks (0.6mm), Center=-0.0mm, Turn=0.5°
2025-09-06 17:34:19,341 - INFO - 🔄 Movement: L=-37 ticks (-1.2mm), R=35 ticks (1.1mm), Center=-0.0mm, Turn=0.9°
2025-09-06 17:34:19,342 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-37, R=35 (diff=-72)
2025-09-06 17:34:19,347 - INFO - 🔄 Movement: L=-25 ticks (-0.8mm), R=23 ticks (0.7mm), Center=-0.0mm, Turn=0.6°
2025-09-06 17:34:19,362 - INFO - 🔄 Movement: L=-37 ticks (-1.2mm), R=34 ticks (1.1mm), Center=-0.0mm, Turn=0.9°
2025-09-06 17:34:19,362 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-37, R=34 (diff=-71)
2025-09-06 17:34:19,374 - INFO - 🔄 Movement: L=-41 ticks (-1.3mm), R=39 ticks (1.2mm), Center=-0.0mm, Turn=1.0°
2025-09-06 17:34:19,375 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-41, R=39 (diff=-80)
2025-09-06 17:34:19,385 - INFO - 🔄 Movement: L=-18 ticks (-0.6mm), R=16 ticks (0.5mm), Center=-0.0mm, Turn=0.4°
2025-09-06 17:34:19,398 - INFO - 🔄 Movement: L=-43 ticks (-1.4mm), R=40 ticks (1.3mm), Center=-0.0mm, Turn=1.0°
2025-09-06 17:34:19,398 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-43, R=40 (diff=-83)
2025-09-06 17:34:19,404 - INFO - 🔄 Movement: L=-20 ticks (-0.6mm), R=19 ticks (0.6mm), Center=-0.0mm, Turn=0.5°
2025-09-06 17:34:19,423 - INFO - 🔄 Movement: L=-43 ticks (-1.4mm), R=40 ticks (1.3mm), Center=-0.0mm, Turn=1.0°
2025-09-06 17:34:19,423 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-43, R=40 (diff=-83)
2025-09-06 17:34:19,423 - INFO - 🔄 Movement: L=-17 ticks (-0.5mm), R=15 ticks (0.5mm), Center=-0.0mm, Turn=0.4°
2025-09-06 17:34:19,435 - INFO - 🔄 Movement: L=-46 ticks (-1.4mm), R=43 ticks (1.4mm), Center=-0.0mm, Turn=1.1°
2025-09-06 17:34:19,435 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-46, R=43 (diff=-89)
2025-09-06 17:34:19,441 - INFO - 🔄 Movement: L=-16 ticks (-0.5mm), R=14 ticks (0.4mm), Center=-0.0mm, Turn=0.4°
2025-09-06 17:34:19,455 - INFO - 🔄 Movement: L=-46 ticks (-1.4mm), R=43 ticks (1.4mm), Center=-0.0mm, Turn=1.1°
2025-09-06 17:34:19,455 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-46, R=43 (diff=-89)
2025-09-06 17:34:19,462 - INFO - 🔄 Movement: L=-13 ticks (-0.4mm), R=12 ticks (0.4mm), Center=-0.0mm, Turn=0.3°
2025-09-06 17:34:19,482 - INFO - 🔄 Movement: L=-50 ticks (-1.6mm), R=47 ticks (1.5mm), Center=-0.0mm, Turn=1.2°
2025-09-06 17:34:19,486 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-50, R=47 (diff=-97)
2025-09-06 17:34:19,491 - INFO - 🔄 Movement: L=-13 ticks (-0.4mm), R=11 ticks (0.3mm), Center=-0.0mm, Turn=0.3°
2025-09-06 17:34:19,497 - INFO - 🔄 Movement: L=-48 ticks (-1.5mm), R=47 ticks (1.5mm), Center=-0.0mm, Turn=1.1°
2025-09-06 17:34:19,497 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-48, R=47 (diff=-95)
2025-09-06 17:34:19,502 - INFO - 🔄 Movement: L=-8 ticks (-0.3mm), R=12 ticks (0.4mm), Center=0.1mm, Turn=0.2°
2025-09-06 17:34:19,518 - INFO - 🔄 Movement: L=-12 ticks (-0.4mm), R=42 ticks (1.3mm), Center=0.5mm, Turn=0.7°
2025-09-06 17:34:19,518 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-12, R=42 (diff=-54)
2025-09-06 17:34:19,539 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=43 ticks (1.4mm), Center=0.9mm, Turn=0.4°
2025-09-06 17:34:19,560 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=40 ticks (1.3mm), Center=1.0mm, Turn=0.2°
2025-09-06 17:34:19,584 - INFO - 🔄 Movement: L=38 ticks (1.2mm), R=50 ticks (1.6mm), Center=1.4mm, Turn=0.1°
2025-09-06 17:34:19,605 - INFO - 🔄 Movement: L=39 ticks (1.2mm), R=44 ticks (1.4mm), Center=1.3mm, Turn=0.1°
2025-09-06 17:34:19,621 - INFO - 🔄 Movement: L=44 ticks (1.4mm), R=44 ticks (1.4mm), Center=1.4mm, Turn=0.0°
2025-09-06 17:34:19,641 - INFO - 🔄 Movement: L=45 ticks (1.4mm), R=44 ticks (1.4mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:34:19,647 - INFO - 🔄 Movement: L=13 ticks (0.4mm), R=12 ticks (0.4mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:34:19,662 - INFO - 🔄 Movement: L=46 ticks (1.4mm), R=43 ticks (1.4mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:34:19,668 - INFO - 🔄 Movement: L=15 ticks (0.5mm), R=14 ticks (0.4mm), Center=0.5mm, Turn=-0.0°
2025-09-06 17:34:19,683 - INFO - 🔄 Movement: L=44 ticks (1.4mm), R=40 ticks (1.3mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:34:19,689 - INFO - 🔄 Movement: L=20 ticks (0.6mm), R=19 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:34:19,706 - INFO - 🔄 Movement: L=45 ticks (1.4mm), R=40 ticks (1.3mm), Center=1.3mm, Turn=-0.1°
2025-09-06 17:34:19,712 - INFO - 🔄 Movement: L=20 ticks (0.6mm), R=20 ticks (0.6mm), Center=0.6mm, Turn=0.0°
2025-09-06 17:34:19,722 - INFO - 🔄 Movement: L=42 ticks (1.3mm), R=37 ticks (1.2mm), Center=1.2mm, Turn=-0.1°
2025-09-06 17:34:19,733 - INFO - 🔄 Movement: L=25 ticks (0.8mm), R=24 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:19,743 - INFO - 🔄 Movement: L=42 ticks (1.3mm), R=39 ticks (1.2mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:34:19,754 - INFO - 🔄 Movement: L=27 ticks (0.8mm), R=22 ticks (0.7mm), Center=0.8mm, Turn=-0.1°
2025-09-06 17:34:19,765 - INFO - 🔄 Movement: L=39 ticks (1.2mm), R=37 ticks (1.2mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:19,775 - INFO - 🔄 Movement: L=28 ticks (0.9mm), R=25 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:19,787 - INFO - 🔄 Movement: L=41 ticks (1.3mm), R=37 ticks (1.2mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:19,792 - INFO - 🔄 Movement: L=28 ticks (0.9mm), R=26 ticks (0.8mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:19,803 - INFO - 🔄 Movement: L=39 ticks (1.2mm), R=36 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:19,813 - INFO - 🔄 Movement: L=29 ticks (0.9mm), R=26 ticks (0.8mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:19,824 - INFO - 🔄 Movement: L=42 ticks (1.3mm), R=39 ticks (1.2mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:34:19,834 - INFO - 🔄 Movement: L=30 ticks (0.9mm), R=27 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:19,845 - INFO - 🔄 Movement: L=41 ticks (1.3mm), R=38 ticks (1.2mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:19,855 - INFO - 🔄 Movement: L=32 ticks (1.0mm), R=30 ticks (0.9mm), Center=1.0mm, Turn=-0.0°
2025-09-06 17:34:19,866 - INFO - 🔄 Movement: L=37 ticks (1.2mm), R=34 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:19,877 - INFO - 🔄 Movement: L=36 ticks (1.1mm), R=32 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:19,887 - INFO - 🔄 Movement: L=36 ticks (1.1mm), R=34 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:19,893 - INFO - 🔄 Movement: L=34 ticks (1.1mm), R=32 ticks (1.0mm), Center=1.0mm, Turn=-0.0°
2025-09-06 17:34:19,904 - INFO - 🔄 Movement: L=35 ticks (1.1mm), R=30 ticks (0.9mm), Center=1.0mm, Turn=-0.1°
2025-09-06 17:34:19,920 - INFO - 🔄 Movement: L=39 ticks (1.2mm), R=37 ticks (1.2mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:19,925 - INFO - 🔄 Movement: L=33 ticks (1.0mm), R=31 ticks (1.0mm), Center=1.0mm, Turn=-0.0°
2025-09-06 17:34:19,937 - INFO - 🔄 Movement: L=41 ticks (1.3mm), R=37 ticks (1.2mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:19,947 - INFO - 🔄 Movement: L=29 ticks (0.9mm), R=27 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:19,957 - INFO - 🔄 Movement: L=43 ticks (1.4mm), R=39 ticks (1.2mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:34:19,969 - INFO - 🔄 Movement: L=30 ticks (0.9mm), R=29 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:19,984 - INFO - 🔄 Movement: L=42 ticks (1.3mm), R=38 ticks (1.2mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:34:19,989 - INFO - 🔄 Movement: L=29 ticks (0.9mm), R=26 ticks (0.8mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:20,000 - INFO - 🔄 Movement: L=51 ticks (1.6mm), R=48 ticks (1.5mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:34:20,006 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=20 ticks (0.6mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:34:20,020 - INFO - 🔄 Movement: L=52 ticks (1.6mm), R=48 ticks (1.5mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:34:20,026 - INFO - 🔄 Movement: L=19 ticks (0.6mm), R=17 ticks (0.5mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:34:20,041 - INFO - 🔄 Movement: L=54 ticks (1.7mm), R=51 ticks (1.6mm), Center=1.7mm, Turn=-0.0°
2025-09-06 17:34:20,052 - INFO - 🔄 Movement: L=19 ticks (0.6mm), R=18 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:34:20,062 - INFO - 🔄 Movement: L=54 ticks (1.7mm), R=50 ticks (1.6mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:34:20,068 - INFO - 🔄 Movement: L=17 ticks (0.5mm), R=14 ticks (0.4mm), Center=0.5mm, Turn=-0.0°
2025-09-06 17:34:20,085 - INFO - 🔄 Movement: L=68 ticks (2.1mm), R=64 ticks (2.0mm), Center=2.1mm, Turn=-0.0°
2025-09-06 17:34:20,112 - INFO - 🔄 Movement: L=67 ticks (2.1mm), R=60 ticks (1.9mm), Center=2.0mm, Turn=-0.1°
2025-09-06 17:34:20,129 - INFO - 🔄 Movement: L=70 ticks (2.2mm), R=64 ticks (2.0mm), Center=2.1mm, Turn=-0.1°
2025-09-06 17:34:20,148 - INFO - 🔄 Movement: L=75 ticks (2.4mm), R=69 ticks (2.2mm), Center=2.3mm, Turn=-0.1°
2025-09-06 17:34:20,169 - INFO - 🔄 Movement: L=68 ticks (2.1mm), R=63 ticks (2.0mm), Center=2.1mm, Turn=-0.1°
2025-09-06 17:34:20,186 - INFO - 🔄 Movement: L=68 ticks (2.1mm), R=64 ticks (2.0mm), Center=2.1mm, Turn=-0.0°
2025-09-06 17:34:20,207 - INFO - 🔄 Movement: L=65 ticks (2.0mm), R=59 ticks (1.9mm), Center=2.0mm, Turn=-0.1°
2025-09-06 17:34:20,230 - INFO - 🔄 Movement: L=65 ticks (2.0mm), R=60 ticks (1.9mm), Center=2.0mm, Turn=-0.1°
2025-09-06 17:34:20,230 - INFO - 🔄 Movement: L=10 ticks (0.3mm), R=11 ticks (0.3mm), Center=0.3mm, Turn=0.0°
2025-09-06 17:34:20,248 - INFO - 🔄 Movement: L=60 ticks (1.9mm), R=55 ticks (1.7mm), Center=1.8mm, Turn=-0.1°
2025-09-06 17:34:20,257 - INFO - 🔄 Movement: L=16 ticks (0.5mm), R=14 ticks (0.4mm), Center=0.5mm, Turn=-0.0°
2025-09-06 17:34:20,270 - INFO - 🔄 Movement: L=59 ticks (1.9mm), R=54 ticks (1.7mm), Center=1.8mm, Turn=-0.1°
2025-09-06 17:34:20,275 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=21 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:34:20,294 - INFO - 🔄 Movement: L=49 ticks (1.5mm), R=45 ticks (1.4mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:34:20,295 - INFO - 🔄 Movement: L=26 ticks (0.8mm), R=24 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:20,310 - INFO - 🔄 Movement: L=48 ticks (1.5mm), R=44 ticks (1.4mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:34:20,315 - INFO - 🔄 Movement: L=29 ticks (0.9mm), R=27 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:20,327 - INFO - 🔄 Movement: L=42 ticks (1.3mm), R=39 ticks (1.2mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:34:20,338 - INFO - 🔄 Movement: L=33 ticks (1.0mm), R=30 ticks (0.9mm), Center=1.0mm, Turn=-0.0°
2025-09-06 17:34:20,349 - INFO - 🔄 Movement: L=42 ticks (1.3mm), R=39 ticks (1.2mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:34:20,360 - INFO - 🔄 Movement: L=38 ticks (1.2mm), R=35 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:20,373 - INFO - 🔄 Movement: L=33 ticks (1.0mm), R=30 ticks (0.9mm), Center=1.0mm, Turn=-0.0°
2025-09-06 17:34:20,378 - INFO - 🔄 Movement: L=43 ticks (1.4mm), R=40 ticks (1.3mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:34:20,393 - INFO - 🔄 Movement: L=31 ticks (1.0mm), R=30 ticks (0.9mm), Center=1.0mm, Turn=-0.0°
2025-09-06 17:34:20,400 - INFO - 🔄 Movement: L=43 ticks (1.4mm), R=38 ticks (1.2mm), Center=1.3mm, Turn=-0.1°
2025-09-06 17:34:20,410 - INFO - 🔄 Movement: L=28 ticks (0.9mm), R=27 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:20,425 - INFO - 🔄 Movement: L=61 ticks (1.9mm), R=55 ticks (1.7mm), Center=1.8mm, Turn=-0.1°
2025-09-06 17:34:20,435 - INFO - 🔄 Movement: L=14 ticks (0.4mm), R=14 ticks (0.4mm), Center=0.4mm, Turn=0.0°
2025-09-06 17:34:20,448 - INFO - 🔄 Movement: L=59 ticks (1.9mm), R=55 ticks (1.7mm), Center=1.8mm, Turn=-0.0°
2025-09-06 17:34:20,448 - INFO - 🔄 Movement: L=12 ticks (0.4mm), R=11 ticks (0.3mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:34:20,473 - INFO - 🔄 Movement: L=62 ticks (2.0mm), R=57 ticks (1.8mm), Center=1.9mm, Turn=-0.1°
2025-09-06 17:34:20,473 - INFO - 🔄 Movement: L=13 ticks (0.4mm), R=11 ticks (0.3mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:34:20,486 - INFO - 🔄 Movement: L=61 ticks (1.9mm), R=57 ticks (1.8mm), Center=1.9mm, Turn=-0.0°
2025-09-06 17:34:20,491 - INFO - 🔄 Movement: L=14 ticks (0.4mm), R=13 ticks (0.4mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:34:20,505 - INFO - 🔄 Movement: L=60 ticks (1.9mm), R=56 ticks (1.8mm), Center=1.8mm, Turn=-0.0°
2025-09-06 17:34:20,513 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=9 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:34:20,531 - INFO - 🔄 Movement: L=65 ticks (2.0mm), R=60 ticks (1.9mm), Center=2.0mm, Turn=-0.1°
2025-09-06 17:34:20,549 - INFO - 🔄 Movement: L=65 ticks (2.0mm), R=60 ticks (1.9mm), Center=2.0mm, Turn=-0.1°
2025-09-06 17:34:20,568 - INFO - 🔄 Movement: L=69 ticks (2.2mm), R=63 ticks (2.0mm), Center=2.1mm, Turn=-0.1°
2025-09-06 17:34:20,596 - INFO - 🔄 Movement: L=70 ticks (2.2mm), R=66 ticks (2.1mm), Center=2.1mm, Turn=-0.0°
2025-09-06 17:34:20,613 - INFO - 🔄 Movement: L=74 ticks (2.3mm), R=68 ticks (2.2mm), Center=2.2mm, Turn=-0.1°
2025-09-06 17:34:20,632 - INFO - 🔄 Movement: L=64 ticks (2.0mm), R=59 ticks (1.9mm), Center=1.9mm, Turn=-0.1°
2025-09-06 17:34:20,633 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=10 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:34:20,649 - INFO - 🔄 Movement: L=64 ticks (2.0mm), R=59 ticks (1.9mm), Center=1.9mm, Turn=-0.1°
2025-09-06 17:34:20,672 - INFO - 🔄 Movement: L=61 ticks (1.9mm), R=56 ticks (1.8mm), Center=1.8mm, Turn=-0.1°
2025-09-06 17:34:20,677 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=21 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:34:20,691 - INFO - 🔄 Movement: L=53 ticks (1.7mm), R=49 ticks (1.5mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:34:20,696 - INFO - 🔄 Movement: L=20 ticks (0.6mm), R=17 ticks (0.5mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:34:20,709 - INFO - 🔄 Movement: L=51 ticks (1.6mm), R=48 ticks (1.5mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:34:20,723 - INFO - 🔄 Movement: L=23 ticks (0.7mm), R=21 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:34:20,729 - INFO - 🔄 Movement: L=52 ticks (1.6mm), R=48 ticks (1.5mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:34:20,744 - INFO - 🔄 Movement: L=24 ticks (0.8mm), R=22 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:34:20,749 - INFO - 🔄 Movement: L=47 ticks (1.5mm), R=44 ticks (1.4mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:34:20,760 - INFO - 🔄 Movement: L=29 ticks (0.9mm), R=26 ticks (0.8mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:20,777 - INFO - 🔄 Movement: L=47 ticks (1.5mm), R=43 ticks (1.4mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:34:20,777 - INFO - 🔄 Movement: L=28 ticks (0.9mm), R=26 ticks (0.8mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:20,794 - INFO - 🔄 Movement: L=47 ticks (1.5mm), R=43 ticks (1.4mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:34:20,806 - INFO - 🔄 Movement: L=28 ticks (0.9mm), R=25 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:20,811 - INFO - 🔄 Movement: L=43 ticks (1.4mm), R=40 ticks (1.3mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:34:20,823 - INFO - 🔄 Movement: L=38 ticks (1.2mm), R=36 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:20,837 - INFO - 🔄 Movement: L=37 ticks (1.2mm), R=34 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:20,843 - INFO - 🔄 Movement: L=36 ticks (1.1mm), R=33 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:20,854 - INFO - 🔄 Movement: L=36 ticks (1.1mm), R=32 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:20,868 - INFO - 🔄 Movement: L=38 ticks (1.2mm), R=35 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:20,874 - INFO - 🔄 Movement: L=37 ticks (1.2mm), R=34 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:20,886 - INFO - 🔄 Movement: L=36 ticks (1.1mm), R=34 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:20,892 - INFO - 🔄 Movement: L=35 ticks (1.1mm), R=33 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:20,906 - INFO - 🔄 Movement: L=51 ticks (1.6mm), R=46 ticks (1.5mm), Center=1.5mm, Turn=-0.1°
2025-09-06 17:34:20,913 - INFO - 🔄 Movement: L=24 ticks (0.8mm), R=22 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:34:20,933 - INFO - 🔄 Movement: L=50 ticks (1.6mm), R=45 ticks (1.4mm), Center=1.5mm, Turn=-0.1°
